model	nDCGRendle2020	Recall	HR	Precision	MAP	MRR	similarity_time	indexing_time	similarity_matrix_time	candidates_retrieval_time
ItemKNN_nn=300_sim=rp_hashtables_imp=standard_bin=False_bits=4_tables=6_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0623856241992157	0.0799954043676554	0.1522223770377595	0.008969625191584228	0.019224853549253716	0.08422601938259594	9.665973901748657	0.12250399589538574	5.513190984725952	3.555232048034668
ItemKNN_nn=300_sim=rp_hashtables_imp=standard_bin=False_bits=16_tables=12_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.009206711896266054	0.008312100522308925	0.018043750870837396	0.000954437787376341	0.0029680590040310323	0.015370003501144926	5.144394159317017	0.7827639579772949	3.0023510456085205	1.0589051246643066
ItemKNN_nn=300_sim=rp_hashtables_imp=standard_bin=False_bits=12_tables=12_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.017240427259424637	0.017185746966961533	0.03713250661836422	0.0020029260136547305	0.005602118889247244	0.027404055275521616	4.873061180114746	0.561884880065918	3.0867159366607666	0.9404091835021973
ItemKNN_nn=300_sim=rp_hashtables_imp=standard_bin=False_bits=10_tables=2_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.009430688978169868	0.009340258408155876	0.021805768426919326	0.001159955413125261	0.003141695053280739	0.015560656712557824	3.8591091632843018	0.08115792274475098	3.0515341758728027	0.434002161026001
ItemKNN_nn=300_sim=rp_hashtables_imp=standard_bin=False_bits=12_tables=9_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.015320441945316452	0.014861454385423587	0.032464818169151456	0.0017381914448934097	0.004991836388394682	0.024697197517049352	4.50584602355957	0.4163939952850342	3.030808925628662	0.7615559101104736
ItemKNN_nn=300_sim=rp_hashtables_imp=standard_bin=False_bits=6_tables=9_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.05287120385394964	0.06405222422455195	0.12498258325205518	0.007210533649157029	0.01662314874698999	0.07481664838362748	6.939824819564819	0.25279927253723145	4.314747333526611	2.028190851211548
ItemKNN_nn=300_sim=rp_hashtables_imp=standard_bin=False_bits=9_tables=8_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.025355523895877006	0.028290575048593454	0.05977427894663508	0.003295248711160652	0.008125023373528958	0.037997574329662755	4.813248157501221	0.3048670291900635	3.33245587348938	0.8634679317474365
ItemKNN_nn=300_sim=rp_hashtables_imp=standard_bin=False_bits=8_tables=12_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.04535010487934537	0.051657340286987534	0.1025498118991222	0.005845060610282849	0.01437151614381287	0.06685022266134218	5.465184926986694	0.4298439025878906	3.4077439308166504	1.311598777770996
ItemKNN_nn=300_sim=rp_hashtables_imp=standard_bin=False_bits=9_tables=2_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.010192128791623492	0.010698977958301244	0.024592448098091125	0.001302772746272816	0.0033094036773374655	0.015820254939745582	3.9941399097442627	0.07917904853820801	3.1590099334716797	0.4630608558654785
ItemKNN_nn=300_sim=rp_hashtables_imp=standard_bin=False_bits=2_tables=3_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.06922352019757802	0.09206927749649188	0.16977845896614185	0.010112163856764665	0.0209101642959592	0.09011190368915921	14.720400094985962	0.046813249588012695	7.902519226074219	6.266847848892212
