model	nDCGRendle2020	Recall	HR	Precision	MAP	MRR	similarity_time	indexing_time	similarity_matrix_time	candidates_retrieval_time
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=10_tables=8_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.02062639667040403	0.031084316637295228	0.06165528772467605	0.0034067158980075245	0.00616697143580541	0.024992880933224097	6.9163291454315186	0.5181829929351807	4.400597095489502	1.5726139545440674
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=4_tables=2_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.050873740627650973	0.07535878940254509	0.14337466908178906	0.008192838233245089	0.015114772776038784	0.06261975693380882	10.248924016952515	0.06456112861633301	6.090101003646851	3.5913989543914795
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=16_tables=12_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.002702921449024523	0.003968669478920136	0.007593702103943152	0.00041451860108680517	0.0008067417365710879	0.003179558082628758	7.504242897033691	1.044969081878662	4.178836107254028	1.8488881587982178
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=2_tables=3_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.08122044056203769	0.12277784439936569	0.22195903580883378	0.013323812177790164	0.02397685514224803	0.09615569391558737	25.822978019714355	0.06490588188171387	11.844892024993896	13.065705060958862
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=9_tables=2_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.01151746307151454	0.017634905563182316	0.03636616970879197	0.001954159119409224	0.0035229114839762095	0.014091057041275121	5.8073649406433105	0.10648012161254883	4.344048976898193	0.9258499145507812
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=6_tables=12_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.06469639308364518	0.09580261197901434	0.17430681343179602	0.010248014490734291	0.018998969919101834	0.07752964316587914	12.33435606956482	0.4567301273345947	6.638837099075317	4.7094810009002686
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=2_tables=6_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.08839725324827816	0.13296708313238043	0.23881844781942316	0.014375783753657518	0.02617485565271705	0.10479998704896158	32.89095973968506	0.12378597259521484	15.269285917282104	16.425956964492798
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=6_tables=6_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.04984343914633031	0.07405772075330391	0.1383586456736798	0.007921136965305837	0.014718420050503915	0.060415352026772194	9.241714239120483	0.23031902313232422	5.479128122329712	3.0464398860931396
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=6_tables=8_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.05585698964646896	0.0827663084414061	0.15298871394733177	0.008826807858436673	0.016454411885938103	0.06731101512569586	10.072073221206665	0.303997278213501	5.73119592666626	3.5401477813720703
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=4_tables=12_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.08360858406463192	0.12623642402682883	0.2271143932005016	0.01353977985230598	0.024823441740268758	0.09923994961812492	25.93827509880066	0.3545849323272705	11.901708841323853	12.828323125839233
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=8_tables=3_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.020585226774866162	0.031017421391051077	0.0609586178068831	0.0033161488086944405	0.0061389132000224745	0.02535864242128847	6.093219041824341	0.14320993423461914	4.445987224578857	1.0780727863311768
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=16_tables=2_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0008321534281693491	0.0015490713648021715	0.0036226835725233384	0.00018113417862616695	0.00023325705939351027	0.0008863606696041189	5.677350282669067	0.16455292701721191	4.136906147003174	0.9127449989318848
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=8_tables=2_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.015767336777174182	0.02341989286102986	0.047443221401699875	0.0025567785983001256	0.004814190662956915	0.019779822264059835	5.874360084533691	0.09742307662963867	4.398966073989868	0.9571850299835205
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=10_tables=6_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.017661895233109483	0.026380366942370635	0.05273791277692629	0.00291208025637453	0.005311646546314685	0.02128691305454204	6.528516054153442	0.3353242874145508	4.434674978256226	1.3498070240020752
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=10_tables=12_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.026407311719581945	0.03957722129086891	0.07565835307231433	0.004197436254702522	0.007783169024147633	0.03157956120002223	7.263150215148926	0.672548770904541	4.509199142456055	1.6467537879943848
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=2_tables=4_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0851121447048257	0.1289812222515364	0.23213041660861083	0.013922948307092101	0.02503185888565677	0.10058889826639919	28.82377529144287	0.0845022201538086	13.501054286956787	14.246186971664429
UserKNN_nn=600_sim=rp_hashtables_imp=standard_bits=10_tables=9_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.02208841001436034	0.033540735331630815	0.06597464121499233	0.003650550369235057	0.006555605041876654	0.026306078867306015	6.735410928726196	0.49336814880371094	4.43854832649231	1.3590419292449951
