model	nDCGRendle2020	Recall	HR	Precision	MAP	MRR	similarity_time	indexing_time	similarity_matrix_time	candidates_retrieval_time
ItemKNN_nn=200_sim=rp_hashtables_imp=standard_bin=False_bits=64_tables=8_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.010778148289709555	0.008938341958439927	0.15246259875609347	0.009161203563624138	0.0084908876165049	0.029051164207617906	4.1724700927734375	0.4836406707763672	3.1754322052001953	0.45577001571655273
ItemKNN_nn=200_sim=rp_hashtables_imp=standard_bin=False_bits=24_tables=8_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.010915212823411806	0.008986273270871037	0.15044545301731382	0.009135989241889393	0.008751226799501686	0.03034399395012595	3.617738962173462	0.20008015632629395	3.1709649562835693	0.19588613510131836
ItemKNN_nn=200_sim=rp_hashtables_imp=standard_bin=False_bits=24_tables=2_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.010778148289709555	0.008938341958439927	0.15246259875609347	0.009161203563624138	0.0084908876165049	0.029051164207617906	3.496624231338501	0.05197429656982422	3.312222957611084	0.07202410697937012
ItemKNN_nn=200_sim=rp_hashtables_imp=standard_bin=False_bits=16_tables=2_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.02383201744902426	0.011791500843430253	0.214489830223567	0.015540426962514708	0.026034881123908952	0.09313697969314051	3.3221559524536133	0.036631107330322266	3.1633920669555664	0.06136798858642578
ItemKNN_nn=200_sim=rp_hashtables_imp=standard_bin=False_bits=18_tables=12_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.039503858116318305	0.0200548636389383	0.3124894940326105	0.02781139687342411	0.04206870469619509	0.1352186374392932	3.7397301197052	0.3235640525817871	3.135326862335205	0.22811412811279297
ItemKNN_nn=200_sim=rp_hashtables_imp=standard_bin=False_bits=8_tables=12_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.15596977557946448	0.12628709301261085	0.7478567826525466	0.11175827870230291	0.14124167394516055	0.33193676839855113	4.9812939167022705	0.12709283828735352	4.266507863998413	0.1767139434814453
ItemKNN_nn=200_sim=rp_hashtables_imp=standard_bin=False_bits=12_tables=10_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.09466818630441139	0.07497359905613663	0.6195999327618087	0.06961674230963187	0.08525854548341448	0.22754403636990767	3.7571728229522705	0.21746110916137695	3.2758829593658447	0.16060185432434082
ItemKNN_nn=200_sim=rp_hashtables_imp=standard_bin=False_bits=18_tables=8_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.03549024614313328	0.017176064213782545	0.28240040342914774	0.02401243906538914	0.038438225055018295	0.12835680191199397	3.5234251022338867	0.15718340873718262	3.1570680141448975	0.16254878044128418
ItemKNN_nn=200_sim=rp_hashtables_imp=standard_bin=False_bits=14_tables=2_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.04635934900857385	0.026219624092908123	0.3661119515885023	0.033753572028912424	0.04755673736737039	0.14465119220185113	3.3003499507904053	0.03389620780944824	3.163271903991699	0.055463314056396484
ItemKNN_nn=200_sim=rp_hashtables_imp=standard_bin=False_bits=4_tables=2_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.14641036881342534	0.11513619326373423	0.7317196167423097	0.10140359724323415	0.13165994232803502	0.3323251814590929	6.438457727432251	0.015143156051635742	5.738461971282959	0.13785409927368164
ItemKNN_nn=200_sim=rp_hashtables_imp=standard_bin=False_bits=8_tables=8_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.13719884405700933	0.11225318183862884	0.7214657925701798	0.09980669020003362	0.12284524302364021	0.29750478554642507	4.517920017242432	0.09466981887817383	3.9701530933380127	0.12888216972351074
ItemKNN_nn=200_sim=rp_hashtables_imp=standard_bin=False_bits=24_tables=10_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.010794905200654781	0.008865522286591656	0.1484283072785342	0.009001512859304086	0.008645883099543195	0.03006084598950585	3.685842275619507	0.24933505058288574	3.1455721855163574	0.24255108833312988
ItemKNN_nn=200_sim=rp_hashtables_imp=standard_bin=False_bits=14_tables=6_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.07441573620438047	0.05488999309283477	0.5399226760800134	0.05599260379895781	0.06810754760755462	0.1869230748027533	3.4721837043762207	0.10169100761413574	3.200025796890259	0.11225104331970215
